site,origin_lat,origin_lng,dest_lat,dest_lng,origin_nearest_road,origin_impression,destination_nearest_road,destination_impression
ED13_ED14,14.62140478,121.0500734,14.61791897,121.051635,R-7 (Quezon Avenue),356012,R-5 (Ortigas Avenue),188765
ED14_ED13,14.61805341,121.0519144,14.62151313,121.0503108,R-5 (Ortigas Avenue),188765,R-7 (Quezon Avenue),356012
ED14_ED15,14.61791897,121.051635,14.61615395,121.0524404,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED15_ED14,14.61619216,121.0528046,14.61805341,121.0519144,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED15_ED16,14.61615395,121.0524404,14.61358811,121.0536616,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED16_ED15,14.61368351,121.0538559,14.61619216,121.0528046,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED16_ED17,14.61358811,121.0536616,14.60623731,121.057051,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED17_ED16,14.60633531,121.0572561,14.61368351,121.0538559,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED17_ED18,14.60623731,121.057051,14.59957085,121.0595775,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED18_ED17,14.59959211,121.0598292,14.60633531,121.0572561,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED18_ED19,14.59957085,121.0595775,14.59310177,121.0581522,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED19_ED18,14.59294377,121.058566,14.59959211,121.0598292,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED19_ED20,14.59310177,121.0581522,14.58315048,121.0547431,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED20_ED19,14.58299399,121.0550279,14.59294377,121.058566,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED20_ED21,14.58315048,121.0547431,14.58126514,121.0534104,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED21_ED20,14.58102473,121.0536994,14.58299399,121.0550279,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
ED21_ED22,14.58126514,121.0534104,14.57676603,121.0502657,R-5 (Ortigas Avenue),188765,R-4 (Shaw Boulevard),144836
ED22_ED21,14.57662673,121.0504862,14.58102473,121.0536994,R-4 (Shaw Boulevard),144836,R-5 (Ortigas Avenue),188765
ED22_ED23,14.57676603,121.0502657,14.57232908,121.0471147,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED23_ED22,14.57223583,121.0473341,14.57662673,121.0504862,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED23_ED24,14.57232908,121.0471147,14.56654797,121.0453065,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED24_ED23,14.56649951,121.0455011,14.57223583,121.0473341,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED24_ED25,14.56654797,121.0453065,14.56175328,121.0427336,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED25_ED24,14.56162354,121.042875,14.56649951,121.0455011,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED25_ED26,14.56175328,121.0427336,14.55987347,121.0406162,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED26_ED25,14.55964969,121.040754,14.56162354,121.042875,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED26_ED27,14.55987347,121.0406162,14.55484114,121.0346689,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED27_ED26,14.55466708,121.0347975,14.55964969,121.040754,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED27_ED28,14.55484114,121.0346689,14.55031414,121.0291222,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED28_ED27,14.55006773,121.029362,14.55466708,121.0347975,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED28_ED29,14.55031414,121.0291222,14.54760291,121.0259597,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED29_ED28,14.54735687,121.0261576,14.55006773,121.029362,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
ED29_ED30,14.54760291,121.0259597,14.53942824,121.0141117,R-4 (Shaw Boulevard),144836,R-2 (Taft Avenue),119119
ED30_ED29,14.53918224,121.0141747,14.54735687,121.0261576,R-2 (Taft Avenue),119119,R-4 (Shaw Boulevard),144836
ED30_ED31,14.53942824,121.0141117,14.53857577,121.0078914,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
